member_name,member_start_date,member_end_date,political_party,administrative_region,gender,roles,government_name
παρασκευας δημητριου ιωαννης,1996-06-23,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,δωδεκανησου,male,[],['σημιτη κωνσταντινου(22/01/1996-25/09/1996)']
παρασκευας δημητριου ιωαννης,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,δωδεκανησου,male,[],"['σημιτη κωνσταντινου(13/04/2000-10/03/2004)', 'καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)']"
παρασκευοπουλος ανδρεα νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης,male,['υπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων(23/09/2015-11/05/2016)'],"['θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)', 'τσιπρα π. αλεξιου(21/09/2015-08/07/2019)']"
παρασκευοπουλος νικολαου παρασκευας,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,male,[],"['σημιτη κωνσταντινου(22/01/1996-25/09/1996)', 'σημιτη κωνσταντινου(25/09/1996-13/04/2000)']"
παραστατιδης σωκρατη θεοδωρος,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),κιλκις,male,[],['παπαδημου λουκα δ.(11/11/2011-17/05/2012)']
παραστατιδης σωκρατη θεοδωρος,2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,κιλκις,male,[],"['καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)', 'παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)', 'παπαδημου λουκα δ.(11/11/2011-17/05/2012)']"
παραστατιδης σωκρατη θεοδωρος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,κιλκις,male,[],"['παπαδημου λουκα δ.(11/11/2011-17/05/2012)', 'πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)']"
παραστατιδης σωκρατη θεοδωρος,2013-11-06,2014-12-31,ανεξαρτητοι δημοκρατικοι βουλευτες,κιλκις,male,['αρχηγος κομματος:προεδρος ανεξαρτητων δημοκρατικων βουλευτων(23/11/2013-03/06/2014)'],['σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)']
παραστατιδης σωκρατη θεοδωρος,2012-11-07,2013-11-05,ανεξαρτητοι (εκτος κομματος),κιλκις,male,[],['σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)']
παραστατιδης σωκρατη θεοδωρος,2012-06-17,2012-11-06,πανελληνιο σοσιαλιστικο κινημα,κιλκις,male,[],"['πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)', 'σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)']"
παραστατιδης σωκρατη θεοδωρος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,κιλκις,male,[],"['σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)', 'τσιπρα π. αλεξιου(26/01/2015-27/08/2015)', 'θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)']"
παραστατιδης σωκρατη θεοδωρος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,κιλκις,male,[],"['θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)', 'τσιπρα π. αλεξιου(21/09/2015-08/07/2019)']"
ασημακοπουλου παναγιωτη αννα-μισελ,2012-06-17,2014-12-31,νεα δημοκρατια,ιωαννινων,female,[],"['πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)', 'σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)']"
ασημακοπουλου παναγιωτη αννα-μισελ,2015-01-25,2015-08-28,νεα δημοκρατια,β' αθηνων,female,[],"['σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)', 'τσιπρα π. αλεξιου(26/01/2015-27/08/2015)', 'θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)']"
ασημακοπουλου παναγιωτη αννα-μισελ,2015-09-20,2019-04-25,νεα δημοκρατια,β' αθηνων,female,[],"['θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)', 'τσιπρα π. αλεξιου(21/09/2015-08/07/2019)']"
παρασυρης γεωργιου φραγκισκος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου,male,[],"['καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)', 'παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)', 'παπαδημου λουκα δ.(11/11/2011-17/05/2012)']"
παρισης παναγη αλεξανδρος,2007-09-16,2009-09-07,νεα δημοκρατια,κεφαλληνιας,male,[],"['καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)', 'καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)']"
παρτσαφυλλιδου δημητριου φανη,1993-07-01,1993-09-11,νεα δημοκρατια,α' θεσσαλονικης,female,[],['μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)']
πασσαλιδης ευαγγελου θεοδωρος,1989-06-18,1989-10-12,νεα δημοκρατια,κιλκις,male,[],"['τζαννετακη τζαννη(02/07/1989-12/10/1989)', 'γριβα ιωαννη(12/10/1989-23/11/1989)']"
πασσαλιδης ευαγγελου θεοδωρος,1989-11-05,1990-03-12,νεα δημοκρατια,κιλκις,male,[],"['γριβα ιωαννη(12/10/1989-23/11/1989)', 'ζολωτα ξενοφωντα(23/11/1989-11/04/1990)']"
πασσαλιδης ευαγγελου θεοδωρος,1993-10-10,1996-08-24,νεα δημοκρατια,κιλκις,male,[],"['μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)', 'παπανδρεου ανδρεα(13/10/1993-22/01/1996)', 'σημιτη κωνσταντινου(22/01/1996-25/09/1996)']"
πασσαλιδης ευαγγελου θεοδωρος,1996-09-22,2000-03-14,νεα δημοκρατια,κιλκις,male,[],"['σημιτη κωνσταντινου(22/01/1996-25/09/1996)', 'σημιτη κωνσταντινου(25/09/1996-13/04/2000)']"
πασχαλιδης αδαμ ιωαννης,2012-05-06,2012-05-19,νεα δημοκρατια,καβαλας,male,[],"['παπαδημου λουκα δ.(11/11/2011-17/05/2012)', 'πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)']"
πασχαλιδης αδαμ ιωαννης,2012-06-17,2014-12-31,νεα δημοκρατια,καβαλας,male,[],"['πικραμμενου παναγιωτη οθ. (υπηρεσιακη)(17/05/2012-21/06/2012)', 'σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)']"
