member_name,role,role_start_date,role_end_date,gender
γεωργιος βουλγαρακης,υπουργος πολιτισμου,15/02/2006,19/09/2007,male
γεωργιος βουλγαρακης,υπουργος εμπορικης ναυτιλιας αιγαιου και νησιωτικης πολιτικης,19/09/2007,13/09/2008,male
γεωργιος γεννηματας,υπουργος εθνικης οικονομιας,23/11/1989,13/02/1990,male
γεωργιος γεννηματας,υπουργος οικονομικων,13/10/1993,25/02/1994,male
γεωργιος γεννηματας,υπουργος εθνικης οικονομιας,13/10/1993,25/04/1994,male
γεωργιος γεραπετριτης,υπουργος επικρατειας,09/07/2019,27/07/2020,male
γεωργιος γεωργαντας,υφυπουργος παιδειας και θρησκευματων,12/11/2014,27/01/2015,male
γεωργιος γεωργαντας,υφυπουργος ψηφιακης διακυβερνησης,09/07/2019,27/07/2020,male
γεωργιος γεωργιου,αναπληρωτης υπουργος εθνικης αμυνας,11/11/2011,14/02/2012,male
γεωργιος δασκαλακης,αναπληρωτης υπουργος εσωτερικων,08/07/1994,15/09/1995,male
γεωργιος δασκαλακης,υφυπουργος εσωτερικων,13/10/1993,08/07/1994,male
γεωργιος δασκαλακης,αναπληρωτης υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,15/09/1995,22/01/1996,male
γεωργιος δασκαλακης,υφυπουργος μεταφορων και επικοινωνιων,22/01/1996,25/09/1996,male
γεωργιος δημαρας,υφυπουργος περιβαλλοντος και ενεργειας,29/08/2018,09/07/2019,male
γεωργιος δρυς,υφυπουργος οικονομικων,22/01/1996,25/09/1996,male
γεωργιος δρυς,υφυπουργος οικονομικων,25/09/1996,13/04/2000,male
γεωργιος δρυς,υφυπουργος οικονομικων,13/04/2000,24/10/2001,male
γεωργιος δρυς,υπουργος γεωργιας,24/10/2001,10/03/2004,male
γεωργιος ζαββος,υφυπουργος οικονομικων,09/07/2019,27/07/2020,male
γεωργιος ζανιας,υπουργος οικονομικων,17/05/2012,21/06/2012,male
γεωργιος ζανιας,υπουργος οικονομικων,21/06/2012,05/07/2012,male
γεωργιος θωμας,υφυπουργος εθνικης παιδειας και θρησκευματων,07/07/2003,10/03/2004,male
γεωργιος καλαντζης,υπουργος μακεδονιας-θρακης,15/02/2006,19/09/2007,male
γεωργιος καλος,υφυπουργος εθνικης παιδειας και θρησκευματων,10/03/2004,19/09/2007,male
γεωργιος καρασμανης,υπουργος αγροτικης αναπτυξης και τροφιμων,10/06/2014,27/01/2015,male
γεωργιος κατρουγκαλος,αναπληρωτης υπουργος εσωτερικων και διοικητικης ανασυγκροτησης,27/01/2015,18/07/2015,male
γεωργιος κατρουγκαλος,υπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,18/07/2015,27/08/2015,male
γεωργιος κατρουγκαλος,αναπληρωτης υπουργος εξωτερικων,05/11/2016,15/02/2019,male
γεωργιος κατρουγκαλος,υπουργος εξωτερικων,15/02/2019,09/07/2019,male
γεωργιος κατρουγκαλος,υπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,23/09/2015,05/11/2016,male
